model,bal_acc_mean,bal_acc_std,roc_auc_mean,roc_auc_std,f1_mean,f1_std
svc_rbf,0.7902777777777777,0.1081551240773988,0.825,0.1084334473306092,0.7775210084033615,0.1105816579995989
xgboost,0.7527777777777778,0.05299662230094143,0.8065972222222222,0.03594798223402159,0.7342296918767508,0.06607187055914655
catboost,0.7513888888888889,0.11183790077331887,0.8444444444444444,0.07462127888441526,0.7542857142857143,0.09634652594268509
random_forest,0.7388888888888889,0.10021196670859692,0.8270833333333334,0.06681299046176906,0.7428571428571429,0.08633702353366754
gradient_boosting,0.726388888888889,0.09395296958493202,0.8350694444444444,0.07378778588410831,0.7295238095238096,0.060113271764036226
mlp,0.7152777777777778,0.12344714468493874,0.8291666666666666,0.06483485966498098,0.7277777777777777,0.11166528467912099
linear_svc_cal,0.7027777777777777,0.08268264481187342,0.7833333333333334,0.09741672013115157,0.675811701198698,0.0884781010640144
logreg_l2,0.7027777777777777,0.07497427542369876,0.7979166666666666,0.11079925854645618,0.6840573152337858,0.07998922167131652
adaboost,0.7027777777777777,0.09980691235123157,0.8319444444444445,0.08816573242171127,0.7145252837977296,0.09440813952345763
knn,0.701388888888889,0.062422791817345086,0.8147569444444445,0.07331570705677308,0.6714285714285714,0.08268454930564449
lightgbm,0.6763888888888889,0.0743542156351343,0.7760416666666667,0.06901778655615602,0.6845238095238095,0.04325214791567846
decision_tree,0.6305555555555555,0.10517108343134751,0.6706597222222223,0.07061427865742624,0.6469298245614035,0.07270654661439334
